ca,regime,famille,paquet,poids
403095.00,3,AR,B,179.30
8061900.00,3,AR,A,179.30
1319220.00,1,NA,B,179.30
1905540.00,3,AR,B,179.30
586320.00,3,CO,B,179.30
461727.00,3,AR,B,420.62
102606.00,1,AR,B,124.32
293160.00,1,AR,B,124.32
4177530.00,3,AR,B,124.32
919789.50,2,CO,B,124.32
3444630.00,2,CO,B,124.32
3459288.00,3,CO,B,124.32
1671012.00,3,AR,B,124.32
8355060.00,2,CO,A,124.32
427525.00,3,CO,B,124.32
1429155.00,3,AR,B,451.17
2198700.00,3,AR,B,451.17
1099350.00,1,AR,B,184.63
4275250.00,1,AR,B,184.63
586320.00,2,CO,B,184.63
3140476.50,3,AR,B,184.63
9161250.00,1,AR,A,184.63
6068412.00,2,CO,A,184.63
8428350.00,1,AR,A,184.63
6478836.00,1,NA,A,184.63
2931600.00,3,AR,B,539.99
803747.00,1,AR,B,135.92
274837.50,3,AR,B,135.92
527688.00,2,CO,B,135.92
1172640.00,3,CO,B,135.92
168567.00,3,CO,B,135.92
4397400.00,1,NA,B,135.92
732900.00,3,AR,B,135.92
3407374.25,3,CO,B,135.92
6596100.00,3,AR,A,135.92
2015475.00,3,AR,B,135.92
659610.00,3,AR,B,135.92
1065148.00,3,CO,B,135.92
3298050.00,3,NA,B,135.92
4397400.00,2,CO,B,148.84
295603.00,2,AR,B,148.84
1758960.00,1,AR,B,148.84
3627855.00,2,CO,B,148.84
6250262.81,1,AR,A,148.84
1026060.00,3,CO,B,148.84
1832250.00,3,CO,B,148.84
4763850.00,2,CO,B,148.84
439740.00,1,AR,B,148.84
4763850.00,1,AR,B,148.84
4397400.00,3,CO,B,148.84
366450.00,2,CO,B,148.84
256515.00,1,NA,B,148.84
2401163.62,3,AR,B,318.32
71335.60,2,CO,B,318.32
439740.00,1,AR,B,318.32
1905540.00,3,AR,B,318.32
451955.00,2,CO,B,318.32
1319220.00,3,AR,B,142.02
8794800.00,3,AR,A,142.02
5643330.00,3,CO,A,142.02
2377039.00,3,CO,B,142.02
